N,n,k,s,m,epsilon,truncation_mode,shots,recovery_prob,ci_lower,ci_upper,mean_bit_accuracy,bit_recovery_probs,bit_advantages,mi_truncated,mi_full,info_loss_ratio,mean_confidence
4,2,1,3,1,0.0,msb,1000,0.176,0.15364942465804565,0.2008303148405941,0.342,"[0.373, 0.311]","[-0.127, -0.189]",0.24999999999999997,0.5,0.5,0.3920416666666664
4,2,2,3,1,0.0,msb,1000,0.199,0.175427205789421,0.22487650281888322,0.4345,"[0.376, 0.493]","[-0.124, -0.007000000000000006]",0.5,0.5,0.0,0.4374999999999991
8,3,1,5,1,0.0,msb,1000,0.078,0.06294716759073615,0.09628261657107237,0.44166666666666665,"[0.322, 0.727, 0.276]","[-0.178, 0.22699999999999998, -0.22399999999999998]",0.12500000000000003,0.4747809908267858,0.7367207145713133,0.18887916666666663
8,3,2,5,1,0.0,msb,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.3673333333333333,"[0.129, 0.67, 0.303]","[-0.371, 0.17000000000000004, -0.197]",0.22774784629267714,0.4747809908267858,0.5203096781611328,0.21932604842331643
8,3,3,5,1,0.0,msb,1000,0.044,0.0329382145884185,0.058551789150407776,0.4706666666666666,"[0.176, 0.738, 0.498]","[-0.324, 0.238, -0.0020000000000000018]",0.4747809908267858,0.4747809908267858,0.0,0.23524999999999932
16,4,1,11,1,0.0,msb,1000,0.041,0.030364971082098315,0.0551479932076413,0.39725,"[0.308, 0.279, 0.742, 0.26]","[-0.192, -0.22099999999999997, 0.242, -0.24]",0.06250000000000004,0.4591628370131531,0.8638827122713991,0.09364037698412699
16,4,2,11,1,0.0,msb,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.44025,"[0.503, 0.258, 0.758, 0.242]","[0.0030000000000000027, -0.242, 0.258, -0.258]",0.11145376338066584,0.4591628370131531,0.7572674563436562,0.10613162906146886
16,4,3,11,1,0.0,msb,1000,0.05,0.03813026239274882,0.06531382024425081,0.41625,"[0.327, 0.298, 0.773, 0.267]","[-0.173, -0.202, 0.273, -0.23299999999999998]",0.21722262443108908,0.4591628370131531,0.5269159284664264,0.11504292051144958
16,4,4,11,1,0.0,msb,1000,0.01,0.005440754445529249,0.018309468870314774,0.36925,"[0.096, 0.117, 0.764, 0.5]","[-0.404, -0.383, 0.264, 0.0]",0.4591628370131531,0.4591628370131531,0.0,0.12149999999999951
32,5,1,19,1,0.0,msb,1000,0.018,0.011415740009567788,0.028273255170507345,0.4548000000000001,"[0.293, 0.267, 0.713, 0.752, 0.249]","[-0.20700000000000002, -0.23299999999999998, 0.21299999999999997, 0.252, -0.251]",0.03125000000000001,0.4509819072076003,0.9307067545270398,0.04677263327205882
32,5,2,19,1,0.0,msb,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.5042000000000001,"[0.503, 0.26, 0.758, 0.758, 0.242]","[0.0030000000000000027, -0.24, 0.258, 0.258, -0.258]",0.05541217619793944,0.4509819072076003,0.8771299351208084,0.053220941851445845
32,5,3,19,1,0.0,msb,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.4806,"[0.317, 0.344, 0.742, 0.758, 0.242]","[-0.183, -0.15600000000000003, 0.242, 0.258, -0.258]",0.10670881413552447,0.4509819072076003,0.7633855983353158,0.056466481197241035
32,5,4,19,1,0.0,msb,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.44140000000000007,"[0.237, 0.237, 0.714, 0.759, 0.26]","[-0.263, -0.263, 0.21399999999999997, 0.259, -0.24]",0.21199904876184852,0.4509819072076003,0.5299167319715575,0.059719129264132545
32,5,5,19,1,0.0,msb,1000,0.004,0.0015565881404084308,0.010239556277262253,0.4516,"[0.049, 0.059, 0.883, 0.775, 0.492]","[-0.451, -0.441, 0.383, 0.275, -0.008000000000000007]",0.4509819072076003,0.4509819072076003,0.0,0.06178124999999969
